game_id,game_name
569,RaceRoom Racing Experience
797,Racket: NX
797,Racket: NX
706,Radical Heights
706,Radical Heights
493,Rage
493,Rage
770,Ragnaröck
770,Ragnaröck
814,Rainbow Six Extraction
814,Rainbow Six Extraction
439,Rainbow Six Siege
439,Rainbow Six Siege
265,Rainbow Six: Vegas
265,Rainbow Six: Vegas
266,Rainbow Six: Vegas 2
266,Rainbow Six: Vegas 2
546,Realm Royale
546,Realm Royale
727,Red Earth
727,Red Earth
373,Red Stone
373,Red Stone
404,Reflex
404,Reflex
849,Rennsport
849,Rennsport
740,Resistance 2
740,Resistance 2
247,Return to Castle Wolfenstein
247,Return to Castle Wolfenstein
763,Rezzil Player
763,Rezzil Player
700,rFactor
700,rFactor
526,rFactor 2
526,rFactor 2
603,Ring of Elysium
603,Ring of Elysium
399,Rise of Nations: Rise of Legends
399,Rise of Nations: Rise of Legends
418,Rising Thunder
418,Rising Thunder
469,Rivals of Aether
469,Rivals of Aether
738,Roblox
738,Roblox
698,Rocket Arena
698,Rocket Arena
409,Rocket League
409,Rocket League
758,Rocket League Sideswipe
758,Rocket League Sideswipe
713,Rogue Company
713,Rogue Company
836,Roller Champions
836,Roller Champions
684,Roof Rage
684,Roof Rage
527,Rules Of Survival
527,Rules Of Survival
728,Rushdown Revolt
728,Rushdown Revolt
812,Rust
812,Rust
411,S.K.I.L.L. - Special Force 2
411,S.K.I.L.L. - Special Force 2
411,S.K.I.L.L. - Special Force 2
401,S.T.A.L.K.E.R.: Shadow of Chernobyl
401,S.T.A.L.K.E.R.: Shadow of Chernobyl
580,Sailor Moon S
580,Sailor Moon S
593,Samurai Shodown (2019)
593,Samurai Shodown (2019)
685,Samurai Shodown III
685,Samurai Shodown III
615,Samurai Shodown V Special
615,Samurai Shodown V Special
686,Schwarzerblitz
686,Schwarzerblitz
624,Sea of Thieves
624,Sea of Thieves
701,Sekiro: Shadows Die Twice
701,Sekiro: Shadows Die Twice
267,Shadowrun
267,Shadowrun
564,Shadowverse
564,Shadowverse
563,Shardbound
563,Shardbound
422,Shards of War
422,Shards of War
254,ShootMania Storm
254,ShootMania Storm
636,Shovel Knight Showdown
636,Shovel Knight Showdown
687,Shrek SuperSlam
687,Shrek SuperSlam
342,Skullgirls
342,Skullgirls
459,Skullgirls 2nd Encore
459,Skullgirls 2nd Encore
343,Skullgirls Encore
343,Skullgirls Encore
688,Slap City
688,Slap City
760,Slapshot Rebound
760,Slapshot Rebound
689,SLAYERS FOR HIRE
689,SLAYERS FOR HIRE
710,Smash Remix
710,Smash Remix
351,SMITE
351,SMITE
795,Snapshot VR
795,Snapshot VR
